Date,WS,,source: http://www.mol.co.jp/ir-j/data_j/pdf/market1512.pdf,,,,,converted with graphcel
1/15/05,70,,,,,,,
2/15/05,122.719,,,,,,,
3/15/05,125.4562,,,,,,,
4/15/05,92.15328,,,,,,,
5/15/05,76.18613,,,,,,,
6/15/05,64.47688,,,,,,,
7/15/05,74.66545,,,,,,,
8/15/05,79.53163,,,,,,,
9/15/05,76.18613,,,,,,,
10/15/05,97.62774,,,,,,,
11/15/05,141.7275,,,,,,,
12/15/05,183.8504,,,,,,,
1/15/06,149.635,,,,,,,
2/15/06,126.0645,,,,,,,
3/15/06,105.6873,,,,,,,
4/15/06,76.49026,,,,,,,
5/15/06,65.8455,,,,,,,
6/15/06,85.31022,,,,,,,
7/15/06,113.4428,,,,,,,
8/15/06,123.0231,,,,,,,
9/15/06,119.3735,,,,,,,
10/15/06,103.8625,,,,,,,
11/15/06,74.66545,,,,,,,
12/15/06,65.23723,,,,,,,
1/15/07,62.0438,,,,,,,
2/15/07,62.9562,,,,,,,
3/15/07,67.06204,,,,,,,
4/15/07,81.20438,,,,,,,
5/15/07,69.79927,,,,,,,
6/15/07,81.05231,,,,,,,
7/15/07,64.02068,,,,,,,
8/15/07,57.63382,,,,,,,
9/15/07,56.11314,,,,,,,
10/15/07,56.41727,,,,,,,
11/15/07,70.55961,,,,,,,
12/15/07,129.562,,,,,,,
1/15/08,240.826,,,,,,,
2/15/08,137.6217,,,,,,,
3/15/08,116.9404,,,,,,,
4/15/08,114.5073,,,,,,,
5/15/08,132.7555,,,,,,,
6/15/08,198.2968,,,,,,,
7/15/08,203.3151,,,,,,,
8/15/08,227.646,,,,,,,
9/15/08,98.69221,,,,,,,
10/15/08,115.8759,,,,,,,
11/15/08,100.517,,,,,,,
12/15/08,69.95134,,,,,,,
1/15/09,74.36131,,,,,,,
2/15/09,56.72141,,,,,,,
3/15/09,45.16423,,,,,,,
4/15/09,39.68978,,,,,,,
5/15/09,31.4781,,,,,,,
6/15/09,32.69465,,,,,,,
7/15/09,47.59732,,,,,,,
8/15/09,37.40876,,,,,,,
9/15/09,38.77737,,,,,,,
10/15/09,35.2798,,,,,,,
11/15/09,43.33942,,,,,,,
12/15/09,48.50973,,,,,,,
1/15/10,62.65207,,,,,,,
2/15/10,104.4708,,,,,,,
3/15/10,79.22749,,,,,,,
4/15/10,83.18127,,,,,,,
5/15/10,94.73844,,,,,,,
6/15/10,74.66545,,,,,,,
7/15/10,94.13017,,,,,,,
8/15/10,61.58759,,,,,,,
9/15/10,53.37591,,,,,,,
10/15/10,48.81387,,,,,,,
11/15/10,47.29319,,,,,,,
12/15/10,69.79927,,,,,,,
1/15/11,59.61071,,,,,,,
2/15/11,47.90146,,,,,,,
3/15/11,63.10827,,,,,,,
4/15/11,64.02068,,,,,,,
5/15/11,53.22384,,,,,,,
6/15/11,51.09489,,,,,,,
7/15/11,56.87348,,,,,,,
8/15/11,51.24696,,,,,,,
9/15/11,48.2056,,,,,,,
10/15/11,46.07664,,,,,,,
11/15/11,46.98905,,,,,,,
12/15/11,58.24209,,,,,,,
1/15/12,58.54623,,,,,,,
2/15/12,57.93796,,,,,,,
3/15/12,52.4635,,,,,,,
4/15/12,60.06691,,,,,,,
5/15/12,64.17275,,,,,,,
6/15/12,59.1545,,,,,,,
7/15/12,47.90146,,,,,,,
8/15/12,36.95256,,,,,,,
9/15/12,36.04015,,,,,,,
10/15/12,38.47324,,,,,,,
11/15/12,37.86496,,,,,,,
12/15/12,45.46837,,,,,,,
1/15/13,47.29319,,,,,,,
2/15/13,41.66667,,,,,,,
3/15/13,35.43187,,,,,,,
4/15/13,34.3674,,,,,,,
5/15/13,32.99878,,,,,,,
6/15/13,38.01703,,,,,,,
7/15/13,41.81873,,,,,,,
8/15/13,42.42701,,,,,,,
9/15/13,34.8236,,,,,,,
10/15/13,34.06326,,,,,,,
11/15/13,38.1691,,,,,,,
12/15/13,51.85523,,,,,,,
1/15/14,62.5,,,,,,,
2/15/14,58.24209,,,,,,,
3/15/14,56.72141,,,,,,,
4/15/14,47.59732,,,,,,,
5/15/14,42.12287,,,,,,,
6/15/14,38.1691,,,,,,,
7/15/14,38.92944,,,,,,,
8/15/14,46.53285,,,,,,,
9/15/14,48.81387,,,,,,,
10/15/14,43.94769,,,,,,,
11/15/14,43.33942,,,,,,,
12/15/14,53.22384,,,,,,,
1/15/15,61.89173,,,,,,,
2/15/15,69.19099,,,,,,,
3/15/15,64.93309,,,,,,,
4/15/15,54.28832,,,,,,,
5/15/15,57.32969,,,,,,,
6/15/15,63.71655,,,,,,,
7/15/15,66.14964,,,,,,,
8/15/15,67.36618,,,,,,,
9/15/15,54.74453,,,,,,,
10/15/15,48.81387,,,,,,,
11/15/15,62.5,,,,,,,
12/15/15,68.27859,,,,,,,